HabitoPago;Km_Score;Habito;Km_Grupo;Tercero;CargaNacional;VariosVehiculos;Antiguedad;Arpu;Km_Recorridos;NroRevisiones;Uso;Balance;AtencionAlarmas;TiempoActivo;Facturado;OdsUnidad;Grupo;Target
HE;Estable;1;2;0;1;0;0,045454545;0,4685;0,294774651;0;0,76;-1;1;1;1;1;0;1
HC;km+;3;3;0;0;0;0,1875;0,6139;0,294342867;0;1;-1;1;0;1;1;0,691675231;1
HE;km+;1;3;0;1;0;0,045454545;0,3439;0,29337613;0;0,051;-1;1;0,258;1;1;0,323741007;1
HE;Estable;1;2;0;0;0;0,857954545;0,4685;0,293337919;0;0,204;-1;1;0;0;1;0,241521068;1
H0;km-;0;1;0;1;0;0,039772727;0,4685;0,292455245;0;0,569;-1;1;1;1;1;0;1
H0;km++;0;3;0;0;0;0,15340909;0,3439;0,291522898;0;0,055;-1;1;0,258;1;1;0,093525179;1
H0;km+;0;3;0;1;0;0,022727272;0,4685;0,290376569;0;0;-1;1;0,225;0;1;0,102774922;0
HD;Estable;2;2;0;0;0;0,204545454;0,4685;0,290002102;0;0,441;-1;1;0,258;1;1;0,461459403;1
H0;Estable;0;2;0;1;0;0,0625;0,3439;0,289352515;0;0;-1;1;0,322;1;1;0,068859198;1
HB;Estable;4;2;0;0;0;0,096590909;0,4685;0,288989511;0;0,12;-1;1;0;0;1;0,806783144;1
HB;Estable;4;2;0;1;1;0,0625;0,5412;0,286989167;0;0,051;-1;1;0,225;0;1;0,835560123;1
HE;Estable;1;2;1;1;0;0,34090909;0,4685;0,285485566;0;0,224;-1;1;1;1;1;0;1
HE;km+;1;3;0;1;1;0,386363636;0,4586;0,285351827;0;0,221;-1;1;0,225;1;1;0,355601233;1
H0;km+;0;3;0;1;0;0,022727272;0,4685;0,283460385;0;0,025;0;1;0,225;0;1;0,102774922;0
HE;km-;1;1;0;1;0;0,073863636;0,4685;0,2824669;0;0;-1;1;0,225;0;1;0,178828365;0
HD;km+;2;3;0;0;0;0,852272727;0,4685;0,280892608;0;0,051;-1;1;0;0;1;0,511819116;0
HE;Estable;1;2;0;0;0;0,284090909;0,4685;0,280606026;0;0;-1;1;0;0;1;0,23946557;0
HE;km+;1;3;0;0;0;0,079545454;0,3439;0,280510498;0;0,274;0;1;0;0;1;0,299075025;1
H0;km-;0;1;0;1;0;0,085227272;0,3439;0,279432949;0;0;-1;1;0,645;0;1;0,045220966;0
HC;Estable;3;2;0;1;0;0,261363636;0,4685;0,279299211;0;0,059;0;1;1;1;1;0;1
HB;Estable;4;2;0;1;0;0,647727272;0,4685;0,279138725;0;0,295;-1;1;1;1;1;0;1
HA;km-;5;1;0;1;0;0,073863636;0,251;0,277893048;0;0;0;1;0,677;0;1;0,921891058;0
HC;km-;3;1;0;0;0;0,073863636;0,3439;0,27699509;0;0;-1;1;1;1;1;0;1
HC;km+;3;3;0;0;0;0,568181818;0,3891;0,276830783;0;0,313;0;1;1;1;1;0;1
HC;km+;3;3;0;1;0;0,534090909;0,4639;0,274400566;0;0,697;-1;1;0,806;1;1;0,721479958;1
HC;km+;3;3;0;0;0;0,0625;0,3439;0,273804475;0;0,025;-1;1;0;0;1;0,67934224;0
HE;Estable;1;2;0;1;0;0,3125;0,4685;0,273651631;0;0;-1;1;1;1;1;0;1
HD;km+;2;3;0;1;0;0,159090909;0,4894;0,271324583;0;0;0;1;0;0;1;0,534429599;1
H0;km+;0;3;0;1;1;0,051136363;0,5412;0,270890889;0;0,74;-1;1;1;1;1;0;1
H0;km+;0;3;0;0;0;0,022727272;0,3439;0,27016297;0;0;0;1;0,677;0;1;0,086330935;0
HE;km++;1;3;0;0;0;0,039772727;0,3439;0,269738828;0;0,825;-1;1;1;1;1;0;1
HA;km+;5;3;0;0;0;0,693181818;0,6217;0,269108347;0;0,483;-1;1;1;1;1;0;1
HE;km-;1;1;0;1;0;0,119318181;0,3747;0,2690816;0;0,102;-1;1;0;0;1;0,178828365;0
H0;km++;0;3;0;0;0;0,051136363;0,4685;0,268817944;0;0,306;-1;1;1;1;1;0;1
HD;Estable;2;2;0;1;0;0,079545454;0,4685;0,267358285;0;0;-1;1;0;0;1;0,475847893;0
HB;Estable;4;2;0;0;0;0,704545454;0,6217;0,266960891;0;0,077;-1;1;0,225;0;1;0,813977389;0
HC;km+;3;3;0;1;0;0,551136363;0,4639;0,266804226;0;0,335;-1;1;0,258;1;1;0,720452209;1
HE;Estable;1;2;0;1;0;0,392045454;0,4639;0,266185209;0;0,578;0;1;0,258;1;1;0,269270298;1
HD;km+;2;3;0;1;0;0,119318181;0,3439;0,26591009;0;0,014;-1;1;0;0;1;0,530318602;0
HA;km+;5;3;0;0;0;0,454545454;0,3439;0,264947173;0;0;0;1;0;0;1;0,974306269;1
H0;km+;0;3;0;0;0;0,579545454;0,3891;0,263846698;0;0,055;0;1;0;0;1;0,094552929;0
HE;km+;1;3;0;0;0;0,27840909;0,4685;0,263804666;0;0;-1;1;0,225;1;1;0,307297019;0
HC;km+;3;3;0;0;0;0,142045454;0,4685;0,26368239;0;0,134;-1;1;0,87;0;1;0,689619732;1
HE;Estable;1;2;0;1;0;0,397727272;0,4639;0,263621253;0;0,326;-1;1;0,774;1;1;0,268242548;1
H0;Estable;0;2;0;1;0;0,022727272;0,4685;0,262688905;0;0,014;-1;1;0,225;0;1;0,067831449;0
HC;km+;3;3;0;0;0;0,09090909;0,4685;0,262329722;0;0,295;-1;1;0,354;1;1;0,685508735;1
HD;Estable;2;2;0;0;0;0,045454545;0,4685;0,261848264;0;0,206;-1;1;0,838;1;1;0,455292908;1
HC;km+;3;3;0;0;0;0,107954545;0,3439;0,260690472;0;0,297;-1;1;0,903;0;1;0,684480986;1
HE;km++;1;3;0;0;0;0,130681818;0,3439;0,260380963;0;0,297;-1;1;1;0;1;0;1
HE;km+;1;3;0;1;0;0,15340909;0,4685;0,259677882;0;0,143;-1;1;0,225;0;1;0,33299075;0
HE;km+;1;3;0;1;0;0,426136363;0,6217;0,258042452;0;0,368;0;1;0,225;0;1;0,340184994;0
HE;km+;1;3;0;0;1;0,130681818;0,4796;0,257820829;0;0,763;-1;1;0,258;1;1;0,315519013;1
HD;Estable;2;2;0;0;0;0,198863636;0,6012;0,257679448;0;0;-1;1;0,225;1;1;0,459403905;1
HA;km+;5;3;0;0;0;0,443181818;0,3439;0,257270591;0;0;0;1;1;1;1;0;1
HD;km++;2;3;0;0;0;0,176136363;0,4685;0,25695344;0;0,218;-1;1;1;1;1;0;1
HB;Estable;4;2;0;0;0;0,306818181;0,4685;0,256601899;0;0,634;0;1;0,129;1;1;0,817060637;1
HD;km+;2;3;0;0;0;0,375;0,468;0,256433771;0;0;-1;1;0;0;1;0,511819116;0
H0;Estable;0;2;0;1;0;0,034090909;0,3439;0,256303854;0;0,051;-1;1;0,677;0;1;0,067831449;0
HB;km+;4;3;0;0;0;0,295454545;0,4685;0,256296211;0;0,442;0;1;0,806;1;1;0,856115107;1
HB;km-;4;1;0;0;0;0,227272727;0,3052;0,255681015;0;0,942;-1;1;0;1;1;0,768756423;1
HC;km-;3;1;0;1;0;0,204545454;0,3439;0,255409717;0;0,654;-1;1;0,354;1;1;0,622816032;1
HE;km+;1;3;0;0;0;0,181818181;0,6139;0,255375327;0;0,928;-1;1;0,806;1;1;0,304213771;1
H0;Estable;0;2;0;1;0;0,017045454;0,4685;0,254133471;0;0;-1;1;1;0;1;0;1
H0;km+;0;3;0;1;0;0,488636363;0,4685;0,253105596;0;0;0;1;0,225;0;1;0,113052415;0
HA;km-;5;1;0;1;0;0,147727272;0,4685;0,252792266;0;0,928;-1;1;0,322;1;1;0,927029804;1
HC;km++;3;3;0;1;0;0,022727272;0,3439;0,252746413;0;0,438;0;1;1;1;1;0;1
HA;km-;5;1;0;1;0;0,267045454;0,6012;0,252624138;0;0,771;-1;1;1;1;1;0;1
HC;km+;3;3;0;0;0;0,357954545;0,468;0,251733822;0;0,402;-1;1;1;1;1;0;1
HE;km-;1;1;0;1;0;0,164772727;0,4639;0,251019277;0;0,533;-1;1;0,806;1;1;0,188078108;1
HE;km+;1;3;0;1;0;0,119318181;0,4685;0,250602778;0;0;0;1;0;0;1;0,327852004;0
H0;km+;0;3;0;0;0;0,005681818;0,4685;0,250094572;0;0;-1;1;1;1;1;0;1
H0;km+;0;3;0;0;0;0,113636363;0,4685;0,250083109;0;0;-1;1;0,322;1;1;0,090441932;1
HC;km+;3;3;0;1;1;0,164772727;0,4282;0,249838559;0;0,646;-1;1;1;1;1;0;1
HB;km-;4;1;0;0;1;0,034090909;0,3439;0,249418238;0;0;-1;1;0,225;1;1;0,770811921;1
HA;km++;5;3;0;1;0;0,079545454;0,4685;0,248906211;0;0,217;-1;1;1;1;1;0;1
HB;km+;4;3;0;0;0;0,142045454;0,4639;0,248631092;0;0;-1;1;0;0;1;0,847893114;1
HD;km-;2;1;0;0;0;0,289772727;0,5005;0,248287194;0;0,927;-1;1;1;1;1;0;1
H0;km+;0;3;0;1;0;0,017045454;0,4685;0,248222235;0;0;-1;1;1;0;1;0;1
H0;km+;0;3;0;1;0;0,022727272;0,3439;0,248042643;0;0;-1;1;0;0;1;0,102774922;0
H0;Estable;0;2;0;0;0;0,09090909;0,3439;0,247282245;0;0;-1;1;0;0;1;0,061664953;0
H0;km-;0;1;0;1;0;0,306818181;0,4685;0,247274603;0;0,096;-1;1;1;1;1;0;1
HC;km+;3;3;0;1;0;0,045454545;0,4685;0,245719417;0;0;0;1;1;0;1;0;1
HE;Estable;1;2;1;1;0;0,352272727;0,4685;0,245344949;0;0,026;-1;1;0;0;1;0,288797533;0
HB;Estable;4;2;0;0;0;0,698863636;0,6217;0,244936092;0;0,186;-1;1;1;1;1;0;1
HB;km+;4;3;0;0;0;0,272727272;0,4639;0,244722111;0;0,326;-1;1;0,967;1;1;0,855087358;1
H0;Estable;0;2;0;0;0;0,039772727;0,3439;0,242612866;0;0;0;1;0,645;0;1;0,059609455;0
HD;Estable;2;2;0;0;0;0,051136363;0,4685;0,242536444;0;0;-1;1;0,258;1;1;0,454265159;1
HD;Estable;2;2;0;1;1;0,068181818;0,4894;0,242370226;0;0;0;1;0;0;1;0,488180883;1
HE;km-;1;1;0;1;0;0,056818181;0,4685;0,241642307;0;0,117;-1;1;0;0;1;0,17266187;0
H0;Estable;0;2;0;1;0;0,011363636;0,4685;0,241478;0;0;-1;1;0,322;1;1;0,068859198;1
HA;km+;5;3;1;1;0;0,522727272;0,5118;0,241218165;0;0,881;0;1;1;1;1;0;1
HE;Estable;1;2;0;1;0;0,051136363;0,3439;0,241145565;0;0,423;-1;1;0,935;1;1;0,255909558;1
HD;km-;2;1;0;0;0;0,073863636;0,3439;0,240832235;0;0,134;0;1;0,645;0;1;0,393627954;0
HC;Estable;3;2;0;1;0;0,017045454;0,4685;0,240633538;0;0;-1;1;0;0;1;0,656731757;1
HC;Estable;3;2;0;0;0;0,556818181;0,6217;0,24036224;0;0,971;-1;1;0,967;1;1;0,65262076;1
H0;km-;0;1;0;1;0;0,017045454;0,3439;0,239823465;0;0;-1;1;0,645;0;1;0,038026721;0
HD;km+;2;3;0;0;0;0,482954545;0,4685;0,239548346;0;0;1;1;0;0;1;0,511819116;0
H0;km+;0;3;0;0;0;0,085227272;0,3439;0,239120384;0;0;-1;1;0,225;0;1;0,089414182;0
HE;km-;1;1;0;0;0;0,125;0,4685;0,238940792;0;0,051;-1;1;0;0;1;0,147995889;0
HE;km++;1;3;0;1;1;0,267045454;0,4706;0,238075314;0;0,154;-1;1;0,225;1;1;0,353545734;1
HC;km-;3;1;1;0;0;0,323863636;0,6217;0,236399763;0;0;-1;1;0,129;1;1;0,633093525;1
H0;km+;0;3;0;0;0;0,255681818;0,4685;0,235681397;0;0,129;-1;1;0,322;1;1;0,095580678;1
HE;Estable;1;2;1;0;0;0,52840909;0,4685;0,23558587;0;0,067;-1;1;1;1;1;0;1
H0;km+;0;3;0;1;0;0,022727272;0,3439;0,235543838;0;0,971;-1;1;1;1;1;0;1
HD;Estable;2;2;0;1;0;0,664772727;0,3439;0,234932462;0;0;1;1;0;0;1;0,483042137;0
H0;Estable;0;2;0;1;0;0,022727272;0,3439;0,234836935;0;0,102;-1;1;0;0;1;0,067831449;0
HE;km+;1;3;0;0;0;0,09090909;0,4685;0,234699375;0;0;-1;1;0;0;1;0,297019527;0
HE;km+;1;3;0;0;0;0,022727272;0,4685;0,234523605;0;0,542;-1;1;0,774;1;1;0,295991778;1
H0;km+;0;3;0;0;0;0,005681818;0,3439;0,234504499;0;0,815;-1;1;1;1;1;0;1
HA;Estable;5;2;0;0;0;0,448863636;0,3439;0,234118569;0;0;0;1;0,225;0;1;0,943473792;0
HD;km+;2;3;0;0;0;0,045454545;0,3439;0,234015399;0;0,376;-1;1;0,258;0,97;1;0,500513874;1
HC;km+;3;3;0;1;0;0,011363636;0,4685;0,233847271;0;0,232;-1;1;0,225;1;1;0,705035971;1
H0;Estable;0;2;0;0;0;0,011363636;0,4685;0,233648574;0;0;-1;1;1;1;1;0;1
HE;Estable;1;2;0;1;1;0,09090909;0,4685;0,232479318;0;0,13;-1;1;0,225;1;1;0,273381294;1
H0;km-;0;1;0;0;0;0,846590909;0,4685;0,232250053;0;0,116;-1;1;0,322;1;1;0,027749229;1
HE;km++;1;3;0;1;0;0,198863636;0,3439;0,232123956;0;0,427;-1;1;1;0;1;0;1
H0;km-;0;1;0;1;0;0,022727272;0,3439;0,231268031;0;0,051;-1;1;0,677;0;1;0,038026721;0
HB;Estable;4;2;0;0;0;0,125;0,3439;0,23081332;0;0,709;-1;1;0,806;1;1;0,808838643;1
H0;km+;0;3;0;0;0;0,346590909;0,4685;0,22959057;0;0,33;-1;1;0,354;1;1;0,096608427;1
HC;Estable;3;2;0;1;0;0,051136363;0,4685;0,229579106;0;0;0;1;0,225;0;1;0,656731757;0
H0;km+;0;3;0;0;0;0,022727272;0,3439;0,228746107;0;0;-1;1;0;0;1;0,086330935;0
HD;km-;2;1;0;0;1;0,471590909;0,5451;0,226636862;0;0,479;-1;1;0,258;0,984;1;0,416238437;1
HD;km+;2;3;0;0;1;0,375;0,4685;0,225381632;0;0;-1;1;0;0;1;0,522096608;1
HC;km+;3;3;0;0;0;0,369318181;0,3439;0,225322405;0;0,344;0;1;0,322;1;1;0,694758478;1
HC;Estable;3;2;1;0;0;0,443181818;0,4685;0,224867695;0;0,014;-1;1;1;1;1;0;1
HD;Estable;2;2;0;0;0;0,386363636;0,468;0,224577291;0;0,296;-1;1;0,258;0,999;1;0,464542651;1
HE;km-;1;1;1;1;0;0,346590909;0,4685;0,224451195;0;0;-1;1;0,225;0;1;0,220966084;0
H0;km+;0;3;0;1;0;0,022727272;0,3439;0,224409163;0;0;-1;1;0,677;0;1;0,102774922;0
H0;km+;0;3;0;0;0;0,119318181;0,3439;0,224325099;0;0,214;-1;1;0,677;0;1;0,091469681;1
H0;km+;0;3;0;1;0;0,011363636;0,3439;0,224034696;0;0,249;-1;1;1;1;1;0;1
HC;km+;3;3;0;0;1;0,164772727;0,4685;0,223486368;0;0,471;-1;1;0,225;1;1;0,699897225;1
HD;Estable;2;2;1;0;0;0,534090909;0,4685;0,223484458;0;0,327;-1;1;1;1;1;0;1
HE;Estable;1;2;0;0;0;0,272727272;0,4685;0,223366004;0;0;-1;1;1;1;1;0;1
HE;Estable;1;2;0;1;0;0,659090909;0,3439;0,223117632;0;0;1;1;0,645;0;1;0,265159301;0
HA;Estable;5;2;0;1;1;0,176136363;0,4282;0,222706865;0;0,464;-1;1;0,225;1;1;0,95991778;0
H0;km+;0;3;0;0;0;0,034090909;0,4685;0,22213179;0;0,092;0;1;1;1;1;0;1
HB;Estable;4;2;0;0;0;0,039772727;0,4685;0,220817332;0;0,153;0;1;1;1;1;0;1
HE;Estable;1;2;0;1;1;0,539772727;0,4685;0,22038937;0;0,71;-1;1;1;1;1;0;1
HA;km-;5;1;0;1;0;0,659090909;0,4685;0,220385549;0;0,647;-1;1;1;1;1;0;1
HE;Estable;1;2;0;0;0;0,147727272;0,3439;0,220343517;0;0,041;-1;1;0,225;0;1;0,235354573;0
HE;km+;1;3;0;1;0;0,017045454;0,4685;0,219946123;0;0,338;-1;1;0,322;0;1;0,324768756;1
HB;km++;4;3;0;1;0;0,142045454;0,3439;0,219842953;0;0,04;-1;1;0,322;1;1;0,870503597;1
HB;km-;4;1;0;1;0;0,079545454;0,4685;0,219808563;0;0,128;-1;1;0,677;0;1;0,781089414;0
HD;km+;2;3;0;0;1;0,119318181;0,3439;0,219735962;0;0;-1;1;0,258;1;1;0,51901336;1
H0;km+;0;3;0;0;0;0,585227272;0,4487;0,219143692;0;0;-1;1;0,677;0;1;0,094552929;0
HD;km+;2;3;0;1;1;0,0625;0,4894;0,219130318;0;0,025;0;1;0,225;1;1;0,544707091;1
H0;km+;0;3;0;1;0;0,017045454;0,3439;0,219124587;0;0;-1;1;0,645;0;1;0,102774922;0
H0;km+;0;3;0;0;0;0,034090909;0,3439;0,218838005;0;0,469;-1;1;0,935;1;1;0,088386433;1
HC;km+;3;3;0;0;0;0,301136363;0,3439;0,21861256;0;0,025;0;1;0;0;1;0,69270298;0
HA;Estable;5;2;0;0;0;0,039772727;0,3439;0,217057374;0;0,431;-1;1;0,258;1;1;0,937307297;1
HA;km-;5;1;1;1;0;0,517045454;0,5118;0,217030626;0;0,915;0;1;1;1;1;0;1
HE;Estable;1;2;0;1;0;0,119318181;0,4685;0,216545347;0;0,857;0;1;1;1;1;0;1
H0;km+;0;3;0;1;0;0,017045454;0,4685;0,216403966;0;0,051;0;1;1;0;1;0;1
HC;km++;3;3;0;0;0;0,221590909;0,6012;0,216251122;0;0,818;0;1;1;1;1;0;1
HD;km+;2;3;0;0;0;0,02840909;0,4685;0,216140311;0;0,026;-1;1;1;1;1;0;1
H0;km+;0;3;0;1;0;0,017045454;0,3439;0,215120078;0;0;-1;1;0;0;1;0,102774922;0
HD;Estable;2;2;0;1;0;0,073863636;0,4685;0,215016908;0;0,336;-1;1;0,935;1;1;0,47893114;1
HE;km+;1;3;0;1;0;0,034090909;0,4894;0,214818211;0;0,416;-1;1;0,967;1;1;0,326824254;1
HE;Estable;1;2;0;0;0;0,085227272;0,4685;0,214646262;0;0,025;-1;1;0,354;1;1;0,232271325;1
H0;km+;0;3;0;0;1;0,056818181;0,4588;0,214488323;0;0,643;-1;1;0,322;1;1;0,100719424;1
HD;km--;2;1;0;0;0;0,335227272;0,4685;0,214413175;0;0,025;-1;1;0,225;0;1;0,401849948;0
H0;Estable;0;2;0;1;0;0,414772727;0,6217;0,214096024;0;0,301;0;1;1;1;1;0;1
H0;Estable;0;2;0;1;0;0,02840909;0,3439;0,213759768;0;0;-1;1;0,645;0;1;0,067831449;0
HE;km+;1;3;0;0;0;0,181818181;0,5906;0,213744483;0;0;0;1;1;0;1;0;1
HE;km+;1;3;0;1;0;0,238636363;0,5595;0,213473185;0;0,584;-1;1;0,838;1;1;0,342240493;1
HE;km++;1;3;0;1;0;0,113636363;0,4685;0,213171319;0;0,828;0;1;1;1;1;0;1
H0;km+;0;3;0;1;0;0,039772727;0,4685;0,213026117;0;0;0;1;0,322;1;1;0,104830421;1
HA;km+;5;3;0;0;0;0,170454545;0,5118;0,212942053;0;0,025;-1;1;0,225;1;1;0,97225077;1
HC;km-;3;1;0;0;0;0,573863636;0,3891;0,212789209;0;0,04;0;1;0,225;0;1;0,597122302;0
H0;km-;0;1;0;1;0;0,022727272;0,4685;0,212418563;0;0;-1;1;0,322;1;1;0,03905447;1
HB;Estable;4;2;0;0;1;0,102272727;0,4639;0,2124071;0;0,445;-1;1;0,258;1;1;0,819116135;1
HE;km-;1;1;0;1;1;0,534090909;0,4685;0,212177834;0;0,726;-1;1;0,967;1;1;0,213771839;1
H0;km+;0;3;0;1;0;0,1875;0,4685;0,212055559;0;0,245;-1;1;0,322;1;1;0;1
HC;km-;3;1;0;0;0;0,056818181;0,3439;0,211272234;0;0,025;-1;1;0;0;1;0,582733812;0
HD;Estable;2;2;0;0;0;0,267045454;0,4685;0,211214918;0;0,066;-1;1;1;1;1;0;1
H0;km+;0;3;0;1;0;0,039772727;0,3439;0,21118817;0;0;-1;1;0,677;0;1;0,102774922;0
H0;Estable;0;2;0;1;0;0,011363636;0,4685;0,210905409;0;0,11;-1;1;0,322;1;1;0,068859198;1
H0;km++;0;3;0;0;0;0,176136363;0,3439;0,210676143;0;0,066;-1;1;0,87;0;1;0,09249743;1
HC;Estable;3;2;0;0;1;0,170454545;0,4685;0,210626469;0;0;-1;1;0;0;1;0,653648509;1
HA;km+;5;3;0;1;0;0,221590909;0,4685;0,210087694;0;0,304;-1;1;0,129;1;1;0,994861253;1
HC;km-;3;1;0;1;0;0,443181818;0,3439;0,209942493;0;0;-1;1;0,935;0;1;0,623843782;1
H0;Estable;0;2;0;0;0;0,0625;0,4685;0,209885176;0;0;-1;1;0;0;1;0,059609455;0
HA;km+;5;3;0;0;0;0,0625;0,4685;0,209617699;0;0;-1;1;0,677;0;1;0,964028776;0
HE;km-;1;1;0;0;0;0,045454545;0,3439;0,209361686;0;0;0;1;0;0;1;0,143884892;0
HB;Estable;4;2;1;0;0;0,454545454;0,4685;0,209338759;0;0,029;-1;1;0;0;1;0,841726618;0
H0;km+;0;3;0;1;0;0,335227272;0,4685;0,209170631;0;0;-1;1;0,645;0;1;0,113052415;1
HC;km+;3;3;0;1;0;0,15340909;0,4894;0,209159168;0;0,248;0;1;0,225;0;1;0,714285714;0
HC;km-;3;1;1;0;0;0,4375;0,4685;0,20885348;0;0,041;-1;1;1;1;1;0;1
H0;km++;0;3;0;1;0;0,545454545;0,3439;0,208444623;0;0,045;0;1;1;1;1;0;1
HE;km-;1;1;0;1;0;0,147727272;0,4685;0,208249747;0;0,211;-1;1;1;1;1;0;1
H0;km++;0;3;0;0;0;0,022727272;0,3879;0,207863816;0;0;0;1;0;0;1;0,086330935;0
H0;km+;0;3;0;0;0;0,0625;0,4685;0,207317399;1;0,819;-1;1;1;1;0;0;1
HE;km++;1;3;0;0;0;0,039772727;0,3987;0,207221872;0;0;-1;1;0,225;0;1;0,29290853;0
HB;km-;4;1;0;0;0;0,710227272;0,6217;0,206663992;0;0,025;-1;1;0;0;1;0,764645426;0
